"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","5274","1999-11-18","2020-11-03","46","2009-05-14","2020-08-18"
"AA","1009","2016-11-01","2020-11-03","16","2017-01-24","2020-10-14"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5486","1998-01-02","2020-03-10","14","2014-01-28","2017-04-18"
"AAC","1294","2014-10-02","2020-07-02","22","2014-11-05","2019-08-30"
"AACG","3217","2008-01-29","2020-11-04","0","NULL","NULL"
"AACQ","43","2020-09-04","2020-11-04","0","NULL","NULL"
"AACQU","81","2020-07-14","2020-11-04","0","NULL","NULL"
"AACQW","43","2020-09-04","2020-11-04","0","NULL","NULL"
"AAL","3811","2005-09-27","2020-11-13","28","2014-01-28","2020-10-22"
"AAMC","1987","2012-12-13","2020-11-03","23","2013-05-09","2018-11-07"
"AAME","5756","1998-01-02","2020-11-13","39","2009-05-14","2018-11-13"
"AAN","5748","1998-01-02","2020-11-03","46","2009-08-05","2020-10-29"
"AAOI","1798","2013-09-26","2020-11-13","29","2013-11-07","2020-11-05"
"AAON","5756","1998-01-02","2020-11-13","46","2009-05-06","2020-11-05"
"AAP","4766","2001-11-29","2020-11-03","47","2009-05-20","2020-11-10"
"AAPL","5756","1998-01-02","2020-11-13","46","2009-07-21","2020-10-29"
"AAT","2469","2011-01-13","2020-11-03","39","2011-05-10","2020-10-27"
"AAU","3744","2005-12-20","2020-11-03","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3780","2005-11-09","2020-11-13","47","2009-05-05","2020-11-05"
"AAXJ","3085","2008-08-15","2020-11-13","0","NULL","NULL"
"AAXN","4892","2001-06-07","2020-11-13","28","2014-02-26","2020-11-05"
"AB","5748","1998-01-02","2020-11-03","46","2009-07-30","2020-10-22"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4926","2001-04-06","2020-11-03","40","2009-10-30","2020-10-23"
"ABBV","1975","2013-01-02","2020-11-03","31","2013-04-26","2020-10-30"
"ABC","5748","1998-01-02","2020-11-03","46","2009-07-30","2020-11-05"
"ABCB","5756","1998-01-02","2020-11-13","46","2009-07-21","2020-10-22"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1446","2014-05-09","2020-03-10","21","2014-11-10","2019-11-05"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5756","1998-01-02","2020-11-13","25","2015-05-14","2020-11-09"
"ABEOW","941","2015-06-22","2020-01-29","0","NULL","NULL"
"ABEV","5748","1998-01-02","2020-11-03","29","2014-02-26","2020-10-29"
"ABG","4690","2002-03-21","2020-11-03","46","2009-07-30","2020-10-27"
"ABIL","1232","2015-12-24","2020-11-13","10","2016-05-02","2018-12-26"
"ABIO","5756","1998-01-02","2020-11-13","36","2009-11-16","2020-08-05"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5748","1998-01-02","2020-11-03","46","2009-06-04","2020-09-08"
"ABMD","5756","1998-01-02","2020-11-13","47","2009-05-12","2020-10-29"
"ABR","4174","2004-04-07","2020-11-03","47","2009-05-08","2020-10-30"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5748","1998-01-02","2020-11-03","46","2009-07-15","2020-10-21"
"ABTX","1286","2015-10-08","2020-11-13","21","2015-10-30","2020-10-29"
"ABUS","1333","2015-08-03","2020-11-13","28","2014-03-06","2020-11-05"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","1241","2015-12-01","2020-11-03","13","2015-12-15","2018-11-06"
"ACA","510","2018-10-30","2020-11-06","8","2019-02-27","2020-10-28"
"ACAD","4147","2004-05-27","2020-11-13","47","2009-05-11","2020-11-04"
